Biome,Year,Area
Desert,21000,1109717.1134322411
Dwarf shrub tundra,-0,13268.239060951953
Dwarf shrub tundra,1000,21298.582269334373
Dwarf shrub tundra,2000,13205.266993396694
Dwarf shrub tundra,3000,10540.06663731941
Dwarf shrub tundra,4000,13165.05749750806
Dwarf shrub tundra,5000,13205.266993396694
Dwarf shrub tundra,6000,21093.44440713646
Dwarf shrub tundra,7000,10582.653839949231
Dwarf shrub tundra,8000,13151.25570587866
Dwarf shrub tundra,9000,18495.864630722874
Dwarf shrub tundra,10000,6954.959868921994
Dwarf shrub tundra,11000,15830.664274645593
Dwarf shrub tundra,12000,4357.38009250841
Dwarf shrub tundra,13000,12190.74964525557
Dwarf shrub tundra,14000,14856.350265260682
Dwarf shrub tundra,15000,26367.006818208345
Dwarf shrub tundra,16000,48845.423110694646
Dwarf shrub tundra,17000,85557.44026530274
Dwarf shrub tundra,18000,96814.464629016
Dwarf shrub tundra,19000,88728.05139034506
Dwarf shrub tundra,20000,106055.93534674373
Dwarf shrub tundra,21000,99756.97778567832
Evegreen taiga/montane forest,-0,16357.257209866184
Evegreen taiga/montane forest,1000,18982.248070054833
Evegreen taiga/montane forest,2000,48328.145557237294
Evegreen taiga/montane forest,3000,51044.43865624384
Evegreen taiga/montane forest,4000,36023.34328354128
Evegreen taiga/montane forest,5000,20128.17657716099
Evegreen taiga/montane forest,6000,35572.23677983383
Evegreen taiga/montane forest,7000,11835.334722281803
Evegreen taiga/montane forest,8000,13847.074105027024
Evegreen taiga/montane forest,9000,16548.341274451457
Evegreen taiga/montane forest,10000,16588.534398837794
Evegreen taiga/montane forest,11000,11769.317790563211
Evegreen taiga/montane forest,12000,16992.83654086651
Evegreen taiga/montane forest,13000,29626.543588421697
Evegreen taiga/montane forest,14000,18625.196019107378
Evegreen taiga/montane forest,15000,75974.33552494035
Evegreen taiga/montane forest,16000,102268.26463820983
Evegreen taiga/montane forest,17000,42757.43586118607
Evegreen taiga/montane forest,18000,41460.914269074434
Evegreen taiga/montane forest,19000,43605.57874158648
Evegreen taiga/montane forest,20000,51524.12791296358
Evegreen taiga/montane forest,21000,54604.037294297494
Land ice,-0,46945.50635362325
Land ice,1000,46945.50635362325
Land ice,2000,46945.50635362325
