Taxon_name,year,Distribution,Mass,Feeding,HomeRange,MinimumArea,MinimumAreaLo,File,NVA,NVA_Lo
Antifer_ultra,21000,6996085.656313896,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,708.4572329963819,538.9558851999954
Antifer_ultra,20000,6990869.135169983,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,707.9289830124571,538.5540212279262
Antifer_ultra,19000,6915587.167952538,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,700.3055694624439,532.7545411651488
Antifer_ultra,18000,6749726.867776871,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,683.5097589050997,519.9771983348708
Antifer_ultra,17000,6970394.443351746,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,705.855617387079,536.9767169759211
Antifer_ultra,16000,6603054.413981438,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,668.6570018238705,508.67802533254604
Antifer_ultra,15000,6420340.579790115,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,650.1545214712291,494.6023405735985
Antifer_ultra,14000,5894119.408706665,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,596.8668384547349,454.06395796870515
Antifer_ultra,13000,5851605.260697365,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,592.5616516486407,450.7888050618511
Antifer_ultra,12000,5596981.516104698,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,566.7772284138425,431.1734126265071
Antifer_ultra,11000,5506158.478570938,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,557.5800514459728,424.17669860737794
Antifer_ultra,10000,5163633.546833992,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,522.8943318462378,397.7896820875403
Antifer_ultra,9000,5478986.409035683,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,554.8284771881077,422.083449966851
Antifer_ultra,8000,5497624.5001478195,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,556.7158598055178,423.519268421234
Antifer_ultra,7000,5979745.470546722,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,605.5377447048373,460.66031373423937
Antifer_ultra,6000,5868195.073513985,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,594.2416157687745,452.0668307595231
Antifer_ultra,5000,5550276.121341705,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,562.0476158325656,427.575379581359
Antifer_ultra,4000,5346446.352257729,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,541.4068345011932,411.87299127117274
Antifer_ultra,3000,5313448.197902679,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,538.0652829140901,409.3309198380791
Antifer_ultra,2000,6913928.795368195,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,700.1376346900445,532.6267854874608
Antifer_ultra,1000,5702570.068131447,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,577.4696322922105,439.3076142815717
Antifer_ultra,0,4983730.5160532,86,Herbivore,2.5477552849445284,9875.099484444992,12980.813176792371,PaleoNicheModeling/PredictedTSS/Antifer_ultra_TSS.rds,504.6764869461261,383.93053256195975
Arctotherium_tarijense,21000,2160930.8719215393,267,Omnivore,5.805896339206886,22503.65421076589,29581.041848259087,PaleoNicheModeling/PredictedTSS/Arctotherium_tarijense_TSS.rds,96.02577659977268,73.05120904822746
Arctotherium_tarijense,20000,2391199.8020238876,267,Omnivore,5.805896339206886,22503.65421076589,29581.041848259087,PaleoNicheModeling/PredictedTSS/Arctotherium_tarijense_TSS.rds,106.2582894150552,80.83555049514307
Arctotherium_tarijense,19000,2071116.8831977844,267,Omnivore,5.805896339206886,22503.65421076589,29581.041848259087,PaleoNicheModeling/PredictedTSS/Arctotherium_tarijense_TSS.rds,92.03469195713775,70.01500805218173
Arctotherium_tarijense,18000,2174937.5940790176,267,Omnivore,5.805896339206886,22503.65421076589,29581.041848259087,PaleoNicheModeling/PredictedTSS/Arctotherium_tarijense_TSS.rds,96.64819649772764,73.52471238963538
