Site_code,Country,Site name,lat,lon,Cal mean,,,,,,,,,
1903,Peru,Asana,-17.1,-70.633,9182,,,,,,,,,
1901,Ecuador,Las Vegas,-2.276565,-80.818195,9180,,,,,,,,,
1904,Chile,El Chueco I,-44.611152,-71.292006,9176,,,,,,,,,
1900,Argentina,ARQ 18,-29.403488,-69.928869,9175,,,,,,,,,
1896,Peru,Pampa de Fosiles 22 (PV-22-22),-7.533,-79.317,9174,,,,,,,,,
1902,Peru,Jaywamachay (Ac-335),-13.217,-74.383,9174,,,,,,,,,
1905,Brazil,N4-WS-012,-5.95,-50.6,9173,,,,,,,,,
1899,Argentina,Los Morillos Gruta 2,-31.759881,-69.728148,9164,,,,,,,,,
1906,Brazil,Lapa das Boleiras,-19.516,-44.0675,9159,,,,,,,,,
1888,Chile,Las Cuevas,-18.14862,-69.502929,9155,,,,,,,,,
1907,Brazil,Cerca Grande 6,-19.521944,-44.001944,9154,,,,,,,,,
1914,Peru,Guitarrero Cave,-9.192,-77.706,9154,,,,,,,,,
1908,Brazil,Santana do Riacho,-19.128357,-43.727166,9143,,,,,,,,,
1909,Brazil,Lapa do Santo,-19.477222,-44.039167,9143,,,,,,,,,
1911,Brazil,Cerca Grande 6,-19.521944,-44.001944,9143,,,,,,,,,
1912,Brazil,Lapa Grande de Taquarucu,-19.606389,-43.734444,9143,,,,,,,,,
1910,Brazil,Lapa do Santo,-19.477222,-44.039167,9136,,,,,,,,,
1915,Brazil,MG-RP-6,-21.656953,-52.552991,9134,,,,,,,,,
1917,Brazil,MT-SL-31/Morro da Janela,-15.9216,-54.378,9132,,,,,,,,,
1913,Argentina,Penas de las Trampas 1.1,-26.0175,-67.35,9130,,,,,,,,,
1918,Chile,Tuyajto 1b,-24.016361,-67.368164,9130,,,,,,,,,
1920,Colombia,Checua,4.646279,-73.745824,9117,,,,,,,,,
1916,Peru,CA,-6.95,-79.24,9104,,,,,,,,,
1919,Argentina,Penas de las Trampas 1.1,-26.0175,-67.35,9102,,,,,,,,,
1922,Brazil,Toca da Ema do sitio do bras,-8.859,-42.588,9101,,,,,,,,,
1925,Chile,Tulan 67,-23.790371,-67.807618,9099,,,,,,,,,
1921,Colombia,La Chillona,4.5124,-75.3853,9098,,,,,,,,,
1927,Peru,Panam Km,-16.333333,-73,9098,,,,,,,,,
1923,Peru,Caru (Ta 2-5),-17.456,-70.008,9096,,,,,,,,,
1926,Brazil,Santana do Riacho,-19.128357,-43.727166,9095,,,,,,,,,
1928,Brazil,MT-SL-31/Morro da Janela,-15.9216,-54.378,9093,,,,,,,,,
1924,Brazil,Lapa das Boleiras,-19.516,-44.0675,9088,,,,,,,,,
1930,Peru,Guitarrero Cave,-9.192,-77.706,9083,,,,,,,,,
1931,Ecuador,Las Vegas,-2.276565,-80.818195,9080,,,,,,,,,
1929,Chile,Cueva Fell,-52.029814,-69.984633,9079,,,,,,,,,
1933,Brazil,Boqueirao de Pedra Furada,-8.85,-42.555556,9079,,,,,,,,,
1932,Brazil,Boqueirao de Pedra Furada,-8.85,-42.555556,9077,,,,,,,,,
1934,Brazil,Lapa do Santo,-19.477222,-44.039167,9075,,,,,,,,,
1937,Brazil,MT-SL-31/Morro da Janela,-15.9216,-54.378,9067,,,,,,,,,
1936,Brazil,Toca da Ema do sitio do bras,-8.859,-42.588,9066,,,,,,,,,
1939,Peru,Quebrada de los Burros,-18.016667,-70.833333,9066,,,,,,,,,
1935,Argentina,Penas de las Trampas 1.1,-26.0175,-67.35,9065,,,,,,,,,
1941,Chile,Posonby,-52.591789,-71.478699,9065,,,,,,,,,
1944,Brazil,RS-C-61/Pilger,-29.512638,-51.727792,9054,,,,,,,,,
1943,Argentina,Penas de las Trampas 1.1,-26.0175,-67.35,9046,,,,,,,,,
1938,Chile,Patapatane,-17.973667,-69.736388,9042,,,,,,,,,
1940,Argentina,La Colorada de la Fortuna,-31.8666,-70.0333,9042,,,,,,,,,
1945,Argentina,Gruta de El Manzano,-36.15,-69.7666,9036,,,,,,,,,
1949,Argentina,Casa de Piedra,-47.883333,-72.083333,9030,,,,,,,,,
1942,Brazil,Santana do Riacho,-19.128357,-43.727166,9029,,,,,,,,,
1948,Argentina,Penas de las Trampas 1.1,-26.0175,-67.35,9028,,,,,,,,,
1950,Colombia,San German II,5.660214,-75.694147,9024,,,,,,,,,
1951,Chile,San Martin 4,-21.356053,-68.530638,9018,,,,,,,,,
1946,Brazil,Gruta do Gaviao,-6.042,-50.201,9016,,,,,,,,,
1947,Peru,Tres Ventanas,-12.208,-76.377,9016,,,,,,,,,
